parcel_id,district,land_type,area_ha,num_title_holders,circle_rate_lakh,market_rate_lakh,rate_deviation_pct,active_court_stays,deed_mismatch,gram_sabha_pending,is_forest,rr_required,infra_proximity_km,delay_months,risk_score,risk_level
PCL-MP-1104,Indore,Agricultural,51.14,1,42.38,98.35,132.1,0,0,0,0,1,5.8,9.6,30,Low
PCL-MP-1105,Indore,Agricultural,59.96,6,31.13,68.47,119.9,2,0,0,0,0,26.1,27.5,86,High
PCL-MP-1106,Sehore,Agricultural,54.59,5,34.79,34.1,-2.0,1,0,0,0,0,41.4,13.8,43,Medium
PCL-MP-1107,Indore,Agricultural,34.34,2,58.64,82.09,40.0,0,0,0,0,1,23.2,8.0,25,Low
PCL-MP-1108,Bhopal,Private Commercial,16.88,3,54.84,128.29,133.9,0,1,0,0,1,11.9,18.2,57,Medium
PCL-MP-1109,Ujjain,Forest/Eco-sensitive,15.47,4,64.44,113.89,76.7,1,0,1,1,0,14.9,25.3,79,High
PCL-MP-1110,Jabalpur,Agricultural,37.66,8,62.59,86.94,38.9,2,0,0,0,1,20.6,29.8,93,High
PCL-MP-1111,Bhopal,Private Commercial,83.09,1,77.28,130.24,68.5,0,0,0,0,0,40.4,5.4,17,Low
PCL-MP-1112,Raisen,Tribal Schedule V,48.8,6,52.33,85.8,64.0,2,1,0,0,1,32.3,31.4,98,High
PCL-MP-1113,Indore,Forest/Eco-sensitive,84.24,2,55.93,127.58,128.1,1,0,1,1,1,15.4,28.5,89,High
PCL-MP-1114,Dewas,Agricultural,57.82,5,46.42,101.42,118.5,0,0,0,0,1,4.1,13.8,43,Medium
PCL-MP-1115,Dewas,Government Wasteland,59.52,4,35.96,71.12,97.8,1,0,0,0,1,6.2,18.9,59,Medium
PCL-MP-1116,Jabalpur,Tribal Schedule V,62.93,13,102.56,111.33,8.6,0,0,1,0,1,42.8,21.1,66,High
PCL-MP-1117,Indore,Agricultural,12.12,2,50.14,104.93,109.3,0,0,0,0,0,33.4,10.6,33,Low
PCL-MP-1118,Sehore,Agricultural,28.96,3,75.77,88.93,17.4,1,0,0,0,0,32.6,10.6,33,Low
PCL-MP-1119,Jabalpur,Agricultural,38.03,5,88.95,185.6,108.7,2,0,0,0,0,40.7,26.6,83,High
PCL-MP-1120,Indore,Agricultural,80.53,8,64.24,87.27,35.8,1,0,0,0,0,36.2,17.6,55,Medium
PCL-MP-1121,Jabalpur,Private Commercial,31.87,1,85.47,145.13,69.8,2,1,0,0,1,23.3,27.2,85,High
PCL-MP-1122,Ujjain,Agricultural,80.47,4,94.42,210.81,123.3,0,0,0,0,1,17.1,13.8,43,Medium
PCL-MP-1123,Indore,Agricultural,79.15,6,92.27,106.07,15.0,1,0,0,0,1,31.9,16.3,51,Medium
PCL-MP-1124,Raisen,Private Commercial,77.04,1,46.75,101.01,116.1,0,0,0,0,1,5.4,10.6,33,Low
PCL-MP-1125,Bhopal,Agricultural,54.49,8,30.34,65.63,116.3,1,0,0,0,1,32.5,26.9,84,High
PCL-MP-1126,Dewas,Agricultural,52.45,4,73.51,89.8,22.2,0,0,0,0,1,42.9,6.7,21,Low
PCL-MP-1127,Sehore,Private Commercial,33.49,4,28.7,43.37,51.1,1,0,0,0,1,11.2,17.6,55,Medium
PCL-MP-1128,Jabalpur,Private Commercial,65.69,3,36.34,53.09,46.1,0,0,0,0,0,31.0,8.3,26,Low
PCL-MP-1129,Indore,Tribal Schedule V,5.83,10,28.14,34.96,24.2,0,0,1,0,1,18.2,21.1,66,High
PCL-MP-1130,Ujjain,Private Commercial,21.91,2,49.32,108.51,120.0,1,0,0,0,0,19.9,14.7,46,Medium
PCL-MP-1131,Raisen,Agricultural,16.29,8,56.22,118.4,110.6,2,0,0,0,1,44.8,32.0,100,High
PCL-MP-1132,Indore,Private Commercial,27.64,1,52.87,72.89,37.9,0,0,0,0,1,20.3,3.5,11,Low
PCL-MP-1133,Dewas,Private Commercial,37.25,1,31.38,58.82,87.4,1,0,0,0,0,6.9,15.4,48,Medium
PCL-MP-1134,Sehore,Forest/Eco-sensitive,37.53,2,30.71,63.84,107.9,1,0,1,1,1,42.7,27.2,85,High
PCL-MP-1135,Sehore,Agricultural,31.51,6,80.21,105.23,31.2,1,0,0,0,1,25.5,19.5,61,Medium
PCL-MP-1136,Dewas,Forest/Eco-sensitive,59.99,2,109.69,149.63,36.4,0,0,1,1,0,20.6,14.1,44,Medium
PCL-MP-1137,Bhopal,Tribal Schedule V,82.26,8,81.77,161.81,97.9,1,0,1,0,0,31.7,27.5,86,High
PCL-MP-1138,Indore,Forest/Eco-sensitive,43.49,1,108.74,228.19,109.8,1,0,1,1,1,44.2,29.4,92,High
PCL-MP-1139,Bhopal,Agricultural,84.97,8,69.68,143.91,106.5,0,1,0,0,0,29.1,22.4,70,High
PCL-MP-1140,Raisen,Private Commercial,44.22,2,99.63,207.37,108.1,0,1,0,0,0,19.8,14.1,44,Medium
PCL-MP-1141,Bhopal,Private Commercial,26.2,2,52.43,103.73,97.8,1,0,0,0,0,11.7,15.7,49,Medium
PCL-MP-1142,Jabalpur,Government Wasteland,23.69,3,77.23,83.83,8.5,0,0,0,0,1,8.1,3.5,11,Low
PCL-MP-1143,Dewas,Tribal Schedule V,48.13,3,31.9,74.18,132.5,0,0,1,0,1,28.0,17.0,53,Medium
PCL-MP-1144,Bhopal,Private Commercial,53.5,3,79.56,110.43,38.8,1,0,0,0,1,31.1,15.4,48,Medium
PCL-MP-1145,Raisen,Agricultural,51.76,6,98.23,138.8,41.3,0,0,0,0,1,34.3,14.4,45,Medium
PCL-MP-1146,Sehore,Private Commercial,27.47,4,35.41,56.72,60.2,2,0,0,0,0,19.1,24.6,77,High
PCL-MP-1147,Ujjain,Agricultural,49.31,6,41.14,48.59,18.1,0,0,0,0,0,22.6,4.8,15,Low
PCL-MP-1148,Bhopal,Government Wasteland,43.21,2,43.29,63.28,46.2,1,0,0,0,1,21.4,13.4,42,Medium
PCL-MP-1149,Raisen,Agricultural,22.85,6,89.93,133.15,48.1,1,1,0,0,1,3.8,24.6,77,High
PCL-MP-1150,Sehore,Private Commercial,46.96,1,35.94,39.18,9.0,0,0,0,0,1,16.8,4.2,13,Low
PCL-MP-1151,Raisen,Private Commercial,4.33,2,85.66,181.24,111.6,0,1,0,0,0,40.2,15.0,47,Medium
PCL-MP-1152,Indore,Agricultural,52.3,3,58.4,107.69,84.4,0,0,0,0,1,23.2,11.5,36,Low
PCL-MP-1153,Raisen,Tribal Schedule V,31.63,13,34.32,53.33,55.4,1,0,1,0,1,12.3,32.0,100,High
PCL-MP-1154,Jabalpur,Forest/Eco-sensitive,66.09,2,86.32,155.04,79.6,1,0,0,1,1,30.8,22.7,71,High
PCL-MP-1155,Bhopal,Agricultural,37.77,7,37.87,73.89,95.1,1,0,0,0,0,33.2,22.1,69,High
PCL-MP-1156,Bhopal,Forest/Eco-sensitive,44.33,3,109.84,180.54,64.4,1,0,1,1,1,30.6,27.8,87,High
PCL-MP-1157,Ujjain,Forest/Eco-sensitive,52.05,2,106.37,144.08,35.5,0,0,0,1,0,31.9,5.8,18,Low
PCL-MP-1158,Jabalpur,Forest/Eco-sensitive,27.29,3,72.64,167.44,130.5,0,0,1,1,1,40.4,21.8,68,High
PCL-MP-1159,Ujjain,Tribal Schedule V,25.04,7,106.2,113.06,6.5,0,0,0,0,1,37.3,10.6,33,Low
PCL-MP-1160,Dewas,Government Wasteland,59.33,2,34.28,69.39,102.4,2,0,0,0,1,10.9,26.9,84,High
PCL-MP-1161,Raisen,Agricultural,65.63,1,106.98,253.33,136.8,1,0,0,0,1,29.4,18.6,58,Medium
PCL-MP-1162,Ujjain,Government Wasteland,27.64,1,102.17,110.31,8.0,0,0,0,0,0,42.2,0.6,2,Low
PCL-MP-1163,Ujjain,Agricultural,78.21,7,91.98,112.23,22.0,0,0,0,0,1,2.2,11.8,37,Low
PCL-MP-1164,Dewas,Private Commercial,9.57,3,49.19,117.28,138.4,1,0,0,0,0,38.4,16.0,50,Medium
PCL-MP-1165,Bhopal,Agricultural,62.28,5,86.08,83.53,-3.0,1,0,0,0,1,27.7,15.0,47,Medium
PCL-MP-1166,Jabalpur,Tribal Schedule V,70.38,11,52.87,80.95,53.1,1,0,0,0,1,17.6,25.0,78,High
PCL-MP-1167,Dewas,Agricultural,61.58,1,47.23,69.49,47.1,0,0,0,0,1,7.6,8.0,25,Low
PCL-MP-1168,Jabalpur,Private Commercial,76.14,3,83.67,156.98,87.6,0,0,0,0,1,43.1,11.8,37,Low
PCL-MP-1169,Sehore,Agricultural,59.81,8,89.37,188.83,111.3,0,0,0,0,1,27.0,18.9,59,Medium
PCL-MP-1170,Ujjain,Agricultural,38.25,6,31.64,55.94,76.8,1,0,0,0,1,7.2,19.5,61,Medium
PCL-MP-1171,Bhopal,Forest/Eco-sensitive,61.08,4,32.73,55.32,69.0,0,0,1,1,1,3.1,22.1,69,High
PCL-MP-1172,Raisen,Forest/Eco-sensitive,26.54,1,58.66,125.17,113.4,0,0,1,1,1,3.3,23.4,73,High
PCL-MP-1173,Bhopal,Government Wasteland,40.39,3,59.75,123.38,106.5,0,0,0,0,1,19.2,13.1,41,Medium
PCL-MP-1174,Raisen,Agricultural,78.0,7,56.93,110.44,94.0,1,0,0,0,1,8.4,23.0,72,High
PCL-MP-1175,Jabalpur,Government Wasteland,71.04,1,108.17,175.38,62.1,0,0,0,0,1,10.7,7.4,23,Low
PCL-MP-1176,Raisen,Agricultural,23.79,2,27.74,52.91,90.7,0,0,0,0,0,11.2,10.2,32,Low
PCL-MP-1177,Raisen,Private Commercial,59.93,1,45.8,46.45,1.4,0,0,0,0,0,35.0,0.6,2,Low
PCL-MP-1178,Indore,Private Commercial,24.94,3,74.09,153.38,107.0,0,0,0,0,0,44.4,8.6,27,Low
PCL-MP-1179,Dewas,Agricultural,80.65,3,78.21,122.75,56.9,1,0,0,0,1,35.5,16.6,52,Medium
PCL-MP-1180,Dewas,Forest/Eco-sensitive,35.0,3,57.0,116.5,104.4,1,0,0,1,0,41.2,17.6,55,Medium
PCL-MP-1181,Sehore,Private Commercial,33.32,3,42.28,79.81,88.8,0,0,0,0,1,32.7,11.8,37,Low
PCL-MP-1182,Indore,Agricultural,32.37,1,99.26,121.38,22.3,0,0,0,0,1,21.8,6.1,19,Low
PCL-MP-1183,Bhopal,Agricultural,16.56,2,88.48,180.83,104.4,0,0,0,0,0,18.2,8.0,25,Low
PCL-MP-1184,Indore,Private Commercial,66.03,4,64.63,122.19,89.1,1,0,0,0,1,36.2,20.8,65,High
PCL-MP-1185,Dewas,Tribal Schedule V,31.82,9,28.89,63.64,120.3,0,1,1,0,1,32.5,28.2,88,High
PCL-MP-1186,Dewas,Agricultural,28.37,7,73.43,95.92,30.6,0,0,0,0,1,34.5,10.2,32,Low
PCL-MP-1187,Jabalpur,Private Commercial,14.72,3,39.39,78.56,99.4,1,0,0,0,0,29.1,17.0,53,Medium
PCL-MP-1188,Bhopal,Private Commercial,71.4,1,105.34,202.14,91.9,0,0,0,0,0,10.8,7.7,24,Low
PCL-MP-1189,Sehore,Private Commercial,5.61,4,81.04,78.84,-2.7,0,0,0,0,0,1.2,3.2,10,Low
PCL-MP-1190,Jabalpur,Agricultural,83.1,1,67.69,132.8,96.2,1,1,0,0,0,23.8,19.5,61,Medium
PCL-MP-1191,Dewas,Tribal Schedule V,23.09,9,31.72,74.26,134.1,2,0,1,0,0,4.1,32.0,100,High
PCL-MP-1192,Ujjain,Private Commercial,3.18,4,57.24,100.25,75.1,2,1,0,0,0,22.7,24.6,77,High
PCL-MP-1193,Sehore,Government Wasteland,82.79,1,44.53,100.5,125.7,0,0,0,0,1,41.6,11.8,37,Low
PCL-MP-1194,Jabalpur,Government Wasteland,76.49,1,40.25,87.87,118.3,2,0,0,0,0,37.0,22.7,71,High
PCL-MP-1195,Sehore,Agricultural,71.03,7,82.55,143.13,73.4,1,0,0,0,1,4.0,21.1,66,High
PCL-MP-1196,Jabalpur,Government Wasteland,5.04,4,44.73,47.42,6.0,0,0,0,0,0,27.0,4.5,14,Low
PCL-MP-1197,Jabalpur,Agricultural,84.37,8,44.39,77.77,75.2,2,0,0,0,1,34.9,29.4,92,High
PCL-MP-1198,Dewas,Forest/Eco-sensitive,60.76,1,47.78,71.72,50.1,0,1,1,1,1,4.6,23.4,73,High
PCL-MP-1199,Ujjain,Agricultural,11.7,3,61.63,108.32,75.8,2,1,0,0,0,25.2,25.0,78,High
PCL-MP-1200,Sehore,Private Commercial,27.91,4,26.05,40.38,55.0,0,0,0,0,1,44.7,11.2,35,Low
PCL-MP-1201,Jabalpur,Agricultural,12.23,5,47.81,55.54,16.2,1,0,0,0,0,35.3,13.1,41,Medium
PCL-MP-1202,Dewas,Agricultural,21.34,8,75.47,93.1,23.4,1,0,0,0,1,28.1,20.8,65,High
PCL-MP-1203,Dewas,Agricultural,70.09,3,50.54,92.22,82.5,0,0,0,0,1,18.2,12.2,38,Medium
PCL-MP-1204,Dewas,Agricultural,59.22,8,107.26,223.52,108.4,1,0,0,0,1,42.0,27.2,85,High
PCL-MP-1205,Indore,Forest/Eco-sensitive,46.98,4,105.15,131.86,25.4,0,0,1,1,0,35.9,19.5,61,Medium
PCL-MP-1206,Jabalpur,Private Commercial,54.02,2,46.48,54.54,17.3,0,0,0,0,1,27.1,2.9,9,Low
PCL-MP-1207,Ujjain,Forest/Eco-sensitive,46.44,3,84.64,180.1,112.8,0,0,1,1,1,30.1,22.1,69,High
PCL-MP-1208,Indore,Private Commercial,4.24,4,107.18,153.35,43.1,0,1,0,0,0,4.9,13.1,41,Medium
PCL-MP-1209,Sehore,Private Commercial,49.11,4,56.8,92.1,62.1,0,0,0,0,1,44.9,13.1,41,Medium
PCL-MP-1210,Raisen,Agricultural,35.65,2,34.87,80.69,131.4,1,0,0,0,1,22.0,17.6,55,Medium
PCL-MP-1211,Jabalpur,Private Commercial,6.18,1,93.87,104.84,11.7,0,0,0,0,0,30.6,0.3,1,Low
PCL-MP-1212,Indore,Government Wasteland,63.07,2,71.91,102.83,43.0,0,0,0,0,0,28.5,6.4,20,Low
PCL-MP-1213,Raisen,Agricultural,52.39,4,63.21,99.42,57.3,2,0,0,0,0,35.9,23.7,74,High
